date,AAPL,MSFT,NVDA,AMZN,TSLA,GOOGL,META,JPM,SPY
2025-10-29,269.70001220703125,541.5499877929688,207.0399932861328,230.3000030517578,461.510009765625,274.57000732421875,751.6699829101562,305.510009765625,687.3900146484375
2025-10-30,271.3999938964844,525.760009765625,202.88999938964844,222.86000061035156,440.1000061035156,281.4800109863281,666.469970703125,309.44000244140625,679.8300170898438
2025-10-31,270.3699951171875,517.8099975585938,202.49000549316406,244.22000122070312,456.55999755859375,281.19000244140625,648.3499755859375,311.1199951171875,682.0599975585938
2025-11-03,269.04998779296875,517.030029296875,206.8800048828125,254.0,468.3699951171875,283.7200012207031,637.7100219726562,309.3500061035156,683.3400268554688
2025-11-04,270.0400085449219,514.3300170898438,198.69000244140625,249.32000732421875,444.260009765625,277.5400085449219,627.3200073242188,309.25,675.239990234375
2025-11-05,270.1400146484375,507.1600036621094,195.2100067138672,250.1999969482422,462.07000732421875,284.30999755859375,635.9500122070312,311.67999267578125,677.5800170898438
2025-11-06,269.7699890136719,497.1000061035156,188.0800018310547,243.0399932861328,445.9100036621094,284.75,618.9400024414062,313.4200134277344,670.3099975585938
2025-11-07,268.4700012207031,496.82000732421875,188.14999389648438,244.41000366210938,429.5199890136719,278.8299865722656,621.7100219726562,314.2099914550781,670.969970703125
2025-11-10,269.42999267578125,506.0,199.0500030517578,248.39999389648438,445.2300109863281,290.1000061035156,631.760009765625,316.8900146484375,681.4400024414062
2025-11-11,275.25,508.67999267578125,193.16000366210938,249.10000610351562,439.6199951171875,291.30999755859375,627.0800170898438,315.6199951171875,683.0
2025-11-12,273.4700012207031,511.1400146484375,193.8000030517578,244.1999969482422,430.6000061035156,286.7099914550781,609.010009765625,320.4100036621094,683.3800048828125
2025-11-13,272.95001220703125,503.2900085449219,186.86000061035156,237.5800018310547,401.989990234375,278.57000732421875,609.8900146484375,309.4800109863281,672.0399780273438
2025-11-14,272.4100036621094,510.17999267578125,190.1699981689453,234.69000244140625,404.3500061035156,276.4100036621094,609.4600219726562,303.6099853515625,671.9299926757812
2025-11-17,267.4599914550781,507.489990234375,186.60000610351562,232.8699951171875,408.9200134277344,285.0199890136719,602.010009765625,300.3699951171875,665.6699829101562
2025-11-18,267.44000244140625,493.7900085449219,181.36000061035156,222.5500030517578,401.25,284.2799987792969,597.6900024414062,299.4100036621094,660.0800170898438
2025-11-19,268.55999755859375,487.1199951171875,186.52000427246094,222.69000244140625,403.989990234375,292.80999755859375,590.3200073242188,303.2699890136719,662.6300048828125
2025-11-20,266.25,478.42999267578125,180.63999938964844,217.13999938964844,395.2300109863281,289.45001220703125,589.1500244140625,298.3800048828125,652.530029296875
2025-11-21,271.489990234375,472.1199951171875,178.8800048828125,220.69000244140625,391.0899963378906,299.6600036621094,594.25,298.0199890136719,659.030029296875
2025-11-24,275.9200134277344,474.0,182.5500030517578,226.27999877929688,417.7799987792969,318.5799865722656,613.0499877929688,298.0,668.72998046875
2025-11-25,276.9700012207031,476.989990234375,177.82000732421875,229.6699981689453,419.3999938964844,323.44000244140625,636.219970703125,303.0,675.02001953125
2025-11-26,277.54998779296875,485.5,180.25999450683594,229.16000366210938,426.5799865722656,319.95001220703125,633.6099853515625,307.6400146484375,679.6799926757812
2025-11-28,278.8500061035156,492.010009765625,177.0,233.22000122070312,430.1700134277344,320.17999267578125,647.9500122070312,313.0799865722656,683.3900146484375
2025-12-01,283.1000061035156,486.739990234375,179.9199981689453,233.8800048828125,430.1400146484375,314.8900146484375,640.8699951171875,308.9200134277344,680.27001953125
2025-12-02,286.19000244140625,490.0,181.4600067138672,234.4199981689453,429.239990234375,315.80999755859375,647.0999755859375,307.8800048828125,681.530029296875
2025-12-03,284.1499938964844,477.7300109863281,179.58999633789062,232.3800048828125,446.739990234375,319.6300048828125,639.5999755859375,312.1300048828125,683.8900146484375
2025-12-04,280.70001220703125,480.8399963378906,183.3800048828125,229.11000061035156,454.5299987792969,317.6199951171875,661.530029296875,316.1000061035156,684.3900146484375
2025-12-05,278.7799987792969,483.1600036621094,182.41000366210938,229.52999877929688,455.0,321.2699890136719,673.4199829101562,315.0400085449219,685.6900024414062
2025-12-08,277.8900146484375,491.0199890136719,185.5500030517578,226.88999938964844,439.5799865722656,313.7200012207031,666.7999877929688,315.2099914550781,683.6300048828125
2025-12-09,277.17999267578125,492.0199890136719,184.97000122070312,227.9199981689453,445.1700134277344,317.0799865722656,656.9600219726562,300.510009765625,683.0399780273438
