date,AAPL,MSFT,NVDA,AMZN,TSLA,GOOGL,META,JPM
2026-01-13,0.16522249128370406,0.19405846875744634,0.343553007637407,0.3265538116487619,0.43642155063071436,0.2891475475224627,0.3391554180534642,0.24216387651981666
2026-01-14,0.16096749290740356,0.19930676602361602,0.34453188898914144,0.33071864269396645,0.43526228222394203,0.28929644033877994,0.3418729838353202,0.2429843703054136
2026-01-15,0.1405758945428057,0.1987567127280043,0.34716692808914723,0.32953455565493633,0.4335906999293594,0.29017486184888425,0.33913680358062687,0.24099931514322537
2026-01-16,0.1420232953286708,0.19947874355968045,0.3468585561414207,0.3258533968240355,0.43306136200695505,0.28537751137483613,0.3390442504242485,0.23889426991233173
2026-01-20,0.15550107152178674,0.19982858312384041,0.35892561758612623,0.3316018490743812,0.44143651882898133,0.29155529074529735,0.3423940987312444,0.24704746504228006
2026-01-21,0.15543142654239042,0.20429854085307456,0.3632932130891232,0.3304374456692144,0.44299069147012354,0.2932745024085088,0.3442350831989738,0.2471047381486716
2026-01-22,0.15318296694296576,0.2070308933427446,0.3607711718531898,0.33027251076698416,0.4452314603874256,0.28960817498076363,0.36382101008323625,0.24399889216425547
2026-01-23,0.14515700110258203,0.21611008989944877,0.3575497695464569,0.33189645875808593,0.43670101675444556,0.28311507771176675,0.36388934827418123,0.24600372647871566
2026-01-26,0.15811145851002725,0.21264137929539265,0.34285279981859174,0.33144364283406674,0.4396893414614158,0.28353937885374564,0.3667886228913478,0.24696929315231358
2026-01-27,0.15986812588667593,0.2182623730417695,0.33783066217882707,0.3353849330272356,0.4400252668809262,0.2796256152712878,0.3668057964235083,0.2470049608735455
2026-01-28,0.15971786434847968,0.21068318930569876,0.33738914583721674,0.32833689788253134,0.4293007684483825,0.276006503876122,0.2716094119079724,0.24553443006645437
2026-01-29,0.16045634551358992,0.2983956197994211,0.33761406865078547,0.26957486180301754,0.42807195320949076,0.2759817337669395,0.3334266257980275,0.24835928623437814
2026-01-30,0.1605967277253843,0.298519294693881,0.3346265383921884,0.2574414101498915,0.4302547008959569,0.2758150341386713,0.3377572523547875,0.24812011828429467
2026-02-02,0.18051531403712945,0.29970622131728186,0.3298341883148874,0.25688213745439903,0.41862495547272455,0.2722518967988597,0.33726688099127017,0.2485973343129704
2026-02-03,0.18055818131113827,0.30360295213648814,0.33299229335229513,0.25925031123513165,0.4101863833786887,0.2705861271980361,0.3396232590269273,0.2520212243394601
2026-02-04,0.18806205540368245,0.3023969064369307,0.3318741961055665,0.25705639629766514,0.4112701624980484,0.2745822454786501,0.3421062509689645,0.2522486849200303
2026-02-05,0.18782015429790497,0.3177812731250571,0.3327729423996578,0.2723699057157531,0.40668686625840994,0.2706814454189106,0.34204453821910236,0.2565054444005101
2026-02-06,0.18834888060093738,0.31792853416374195,0.34919670423187515,0.29267914189597666,0.40610146495043753,0.2658409985985219,0.34188480778720354,0.2680974284309489
2026-02-09,0.18515109907778496,0.32518751427574755,0.3478835812245865,0.29261060033129044,0.4067570633621601,0.26585533040858816,0.34459576228433353,0.2679604515164502
2026-02-10,0.18480176599644366,0.32478044196927086,0.3481514650107363,0.29072187377993436,0.4065656386835376,0.2664363886403102,0.3394848485392482,0.26733490741759197
2026-02-11,0.18525050220955233,0.3260220270056082,0.34034500053812494,0.28711712536179934,0.3808564164613744,0.2643446505435964,0.3396179740017958,0.26215868178293583
2026-02-12,0.21312530818940503,0.3240704606803065,0.34011783427865716,0.2892720195168128,0.3848659736849636,0.26413447568181064,0.3451845031528402,0.2649519638362406
2026-02-13,0.21498043987850693,0.32410489228458417,0.34098211858753397,0.2890930941007661,0.3842183090499382,0.25839715783510264,0.34579030798048216,0.26401756368062873
2026-02-17,0.224715981158973,0.32078184994612474,0.33674209193635585,0.2764932362562776,0.38371886362304897,0.25973556192603736,0.3453881494261178,0.2656751170369974
2026-02-18,0.22456895248854472,0.3208123301644903,0.333421371908526,0.2793713562161575,0.38349626605191106,0.25294567973207116,0.34437456835440255,0.26462822664031993
2026-02-19,0.22578425057031692,0.31934640924356156,0.32662184433811714,0.27493055227378466,0.38068987645806096,0.25172643577861026,0.34430636717889956,0.26243866878232835
2026-02-20,0.224350214074672,0.3186344393978144,0.32645601012983,0.2779710392385758,0.37997418083877277,0.25453776478907164,0.34542229599028434,0.26296362161543646
2026-02-23,0.2220916366744413,0.32406399869614166,0.3244216594015695,0.2764253876734669,0.3599261040533092,0.2223736738415506,0.34528151911298854,0.2778867318441454
2026-02-24,0.22677606385266652,0.32495266398138484,0.3196832469891304,0.27669588646426957,0.3632605940707397,0.220025245099602,0.33688305392786616,0.2757163519219083
2026-02-25,0.22731126362286003,0.32905372502885294,0.3197374316949476,0.27769835003559207,0.36379001262674665,0.21945384123385756,0.33980388238371634,0.2770369931481604
2026-02-26,0.22726281196678133,0.32749941772572205,0.33851398685069845,0.2758395757398416,0.36583651740492634,0.2223235029269248,0.33688661141905163,0.2752891471865178
2026-02-27,0.23434700060312738,0.3295327645390979,0.3482753520431592,0.2767480633188961,0.3669716665917041,0.2218303540263092,0.3372885327192437,0.2767270553310686
2026-03-02,0.23311082208202916,0.33100264962102066,0.35312350606606197,0.2768741019564414,0.3670208826963801,0.2243729567263545,0.3371316920553778,0.27724070193074624
2026-03-03,0.2328463857007096,0.3295709697602782,0.3535636797438932,0.276605235531525,0.36078274086067363,0.223600177975502,0.33625386477776603,0.27637629971436045
2026-03-04,0.23183905003166055,0.32923920588928635,0.3525666695423295,0.28711038267184424,0.36615168191144565,0.2233163573486977,0.3313749372448976,0.275017389078499
2026-03-05,0.23204067820482338,0.33056775195655275,0.3524102363087295,0.2878888435785419,0.36610660602742534,0.22225836953721692,0.33004568806251083,0.27766613512538635
2026-03-06,0.23287299002709477,0.32823479554884727,0.35610866646630296,0.2918833809085462,0.3622365818571536,0.21766629011364816,0.3330684618627733,0.27887090766984124
2026-03-09,0.23386993571222062,0.3281785634043667,0.36049519316572776,0.29169576835072913,0.3612738616459171,0.22328390873696494,0.3318439360831422,0.2616515877376551
2026-03-10,0.23364686909894475,0.3243823674064538,0.36104979541538174,0.28951001616666927,0.3598330383551879,0.22231332318007274,0.33183840674026643,0.25305851997572565
2026-03-11,0.23363261776700464,0.32326037524051,0.3598026467951943,0.2896291060326928,0.36256055184914454,0.21697615820959423,0.33174957503572444,0.24796912663516396
2026-03-12,0.2366383610394837,0.32304165872707197,0.35454607257141235,0.28893141195650895,0.36298759174409456,0.21871681615130412,0.3349105811158349,0.24950485601749814
2026-03-13,0.23886737426447632,0.32397909862881874,0.35590947434799985,0.2876921070124543,0.3547262169810577,0.21876665406575968,0.3440723434978844,0.24925372684629954
2026-03-16,0.2400966916819648,0.32501716315075235,0.3570750103574789,0.29075648387326664,0.3491500773202084,0.21968036306583222,0.34583125201698683,0.24907899206380085
2026-03-17,0.23980570152503328,0.3249969400212677,0.34791299994486874,0.2926411955285084,0.33797616682054876,0.21175711688213966,0.34538375264580684,0.2492255747543894
2026-03-18,0.24194701546269734,0.324161940117225,0.3465060501582181,0.2922129320481595,0.33039637472365446,0.20946006101002462,0.3425403762366106,0.2491947414552387
2026-03-19,0.24157590901230366,0.3238596084062745,0.3379838638131319,0.2922125083589933,0.3356372130813444,0.20710638153169758,0.34332524443698803,0.24733897562524737
2026-03-20,0.24100320303092015,0.32526172150338073,0.34321196464304404,0.2935114360700699,0.33834463785404034,0.2103857098348007,0.3456367579794734,0.2438843599047613
2026-03-23,0.24272677089330852,0.32516212939414907,0.3393286689499533,0.2956222820407375,0.3476993823673469,0.20819349053150144,0.3475847373868035,0.24449513291334773
2026-03-24,0.24236811482387913,0.3283038157371554,0.33931515568932863,0.2966231219065752,0.3481949581614925,0.2226913955924081,0.3491207929614454,0.2442332412779287
2026-03-25,0.2426106232306236,0.32820545123742734,0.34123686603528997,0.30039343876693275,0.3470872404003187,0.22277230631076336,0.34916269951941414,0.24548281734233413
2026-03-26,0.24259967026953014,0.3286680144875139,0.35098450043581303,0.30273396488691334,0.3483397674824259,0.23324025648007377,0.386654662344024,0.24549085046315958
2026-03-27,0.2445283715816734,0.3311669585960564,0.3534454146024234,0.3126852929625986,0.351594015281017,0.23741997529684974,0.39306997593980464,0.25255666738568605
2026-03-30,0.24490443563053033,0.33192283647606485,0.35426140818986823,0.313268365975362,0.3525919601985158,0.23742408256035738,0.3959865089766346,0.25278845425205787
2026-03-31,0.25259222386928704,0.33783742962249413,0.37156348331624506,0.32085221280385146,0.3635748157723094,0.26000294083279524,0.41898756245612384,0.26346350056946866
2026-04-01,0.2517188203397403,0.33776450232517663,0.37198259328549804,0.3158287576006765,0.36165373050349753,0.2695640996552921,0.4189173026484364,0.2574093528157597
2026-04-02,0.24900256664145937,0.33758974025313937,0.3725145207602956,0.3073540161187679,0.36889302021227477,0.269439703540185,0.41897477032214997,0.2572926702957512
2026-04-06,0.24968686991817002,0.336294767532815,0.37186413029839455,0.3090803885042951,0.370886049232589,0.26626977911081523,0.4176641491952029,0.2537528437881184
2026-04-07,0.25313443893553667,0.33603751354288014,0.3694108183947949,0.3061567982527494,0.3709422935276765,0.2680982771632213,0.41779940215093736,0.25344903231965
2026-04-08,0.2569061633259549,0.3363482836343938,0.3723362103532917,0.31502582136406276,0.3675255475802387,0.2790738329276417,0.4377933909621056,0.26434177229899836
2026-04-09,0.2571226523458399,0.3363512511418053,0.372927242264334,0.33551179142534454,0.367248038060462,0.27835606433447113,0.43988849608051794,0.26347021744264626
2026-04-10,0.2570438684678666,0.33577578841455935,0.37644324366003723,0.3367420012381825,0.36835899000446715,0.2771050001176237,0.4385311409984479,0.24849311726474907
2026-04-13,0.25709949519526565,0.34273589879237315,0.3752439836160374,0.3330773833853859,0.36830186520350966,0.27852402074866783,0.4356737273643503,0.2489034256707165
2026-04-14,0.25673760687990155,0.3466126488351342,0.3804707928966683,0.3414595015155411,0.3758277740091568,0.28762723066695717,0.444079933625374,0.2493499207120785
